Image,PSNR,SSIM,lpips,MOS
subject_053_gn_sigma_0.15,22.21712744,0.999936006,0.229789317,21.13378685
subject_053_gn_sigma_0.2,20.94010984,0.999948223,0.250381827,12.78911565
subject_053_jpeg_q_10,35.90185004,0.999998992,0.052819286,54.03628118
subject_053_jpeg_q_15,38.28615862,0.999999847,0.032977886,70.54421769
subject_053_jpeg_q_20,39.94614686,0.999999953,0.019759063,76.09977324
subject_053_jpeg_q_3,27.28824445,0.99993426,0.155699015,11.95011338
subject_053_qp_level_6,16.71998177,0.995318482,0.324463308,7.777777778
subject_053_qp_level_7,18.02567864,0.996995448,0.287613869,9.818594104
subject_053_qp_level_8,20.04632377,0.999393204,0.24362357,12.78911565
subject_053_qp_level_9,23.46059697,0.999971852,0.206971601,31.24716553
subject_053_qt_level_10,31.85281494,0.999999425,0.080135137,59.79591837
subject_053_qt_level_7,27.25549942,0.999995921,0.143549412,38.0952381
subject_053_qt_level_8,29.15855554,0.999998627,0.116944969,73.21995465
subject_053_qt_level_9,30.75940608,0.999998883,0.090477481,47.9138322
subject_053_simp_rate_0.05,31.48646279,0.999999991,0.074873537,39.3877551
subject_053_simp_rate_0.1,32.799532,0.999999993,0.056977309,63.1292517
subject_053_simp_rate_0.2,34.43354149,0.999999998,0.035928458,68.14058957
subject_053_simp_rate_0.4,36.83070926,0.999999997,0.019806402,63.3106576
subject_053_sub_rate_16,30.25156248,0.999961902,0.096624948,30.77097506
subject_053_sub_rate_2,40.15898998,0.999999378,0.018713197,66.28117914
subject_053_sub_rate_4,34.6555347,0.999994539,0.058491692,65.89569161
subject_053_sub_rate_8,32.1437317,0.999979082,0.082694352,38.27664399
subject_060_cn_sigma_20,33.1948256,0.9999995,0.124159895,70.36281179
subject_060_cn_sigma_40,27.6538302,0.999980029,0.247858137,53.85487528
subject_060_cn_sigma_60,24.49166306,0.999927749,0.327383488,45.23809524
subject_060_cn_sigma_80,22.37413995,0.999861118,0.378992885,32.81179138
subject_060_gn_sigma_0.05,30.69758545,0.999998999,0.098429002,43.5600907
subject_060_gn_sigma_0.1,26.19864246,0.999991842,0.158377275,53.94557823
subject_060_gn_sigma_0.15,23.64242636,0.999989476,0.191514745,19.09297052
subject_060_gn_sigma_0.2,22.23966613,0.999990644,0.210106894,10.65759637
subject_060_jpeg_q_10,36.44581802,0.999998866,0.046380263,57.75510204
subject_060_jpeg_q_15,38.93129823,0.999999919,0.02857469,90.81632653
subject_060_jpeg_q_20,40.95035822,0.999999748,0.017756831,56.2585034
subject_060_jpeg_q_3,27.80988646,0.999926796,0.138266712,24.19501134
subject_060_qp_level_6,16.72298587,0.992551022,0.291051924,7.777777778
subject_060_qp_level_7,17.96085407,0.995845766,0.256213099,12.78911565
subject_060_qp_level_8,20.24159185,0.999417966,0.212187484,5.283446712
subject_060_qp_level_9,23.7351064,0.999972404,0.182860106,18.91156463
subject_060_qt_level_10,32.20689517,0.999999719,0.072656788,81.38321995
subject_060_qt_level_7,28.61936587,0.999998285,0.115730241,37.9138322
subject_060_qt_level_8,30.09116087,0.999998799,0.098071799,49.50113379
subject_060_qt_level_9,31.39365451,0.999999525,0.080843925,60.06802721
subject_060_simp_rate_0.05,29.92649459,0.999999982,0.074609831,42.44897959
subject_060_simp_rate_0.1,32.79580059,0.999999768,0.053159151,63.21995465
subject_060_simp_rate_0.2,35.12266613,0.999999994,0.032769706,63.76417234
subject_060_simp_rate_0.4,36.62812953,0.999999999,0.018024763,74.05895692
subject_060_sub_rate_16,31.87413577,0.999984743,0.072950482,30.58956916
subject_060_sub_rate_2,42.46234449,0.999999749,0.012597969,67.4829932
subject_060_sub_rate_4,36.99091203,0.999997919,0.040293325,64.51247166
subject_060_sub_rate_8,34.103516,0.999993662,0.061423518,49.41043084
subject_065_cn_sigma_20,32.29011437,0.999999629,0.184020236,69.97732426
subject_065_cn_sigma_40,26.81146438,0.999964379,0.340229362,69.79591837
subject_065_cn_sigma_60,23.63879681,0.999851549,0.424980521,36.14512472
subject_065_cn_sigma_80,21.44409984,0.999669391,0.482608259,42.35827664
subject_065_gn_sigma_0.05,29.82303604,0.999998763,0.127274007,43.5600907
subject_065_gn_sigma_0.1,25.26720605,0.999987927,0.204750821,24.46712018
subject_065_gn_sigma_0.15,22.92721665,0.999972708,0.242368296,13.80952381
subject_065_gn_sigma_0.2,21.3088496,0.999967691,0.264903516,15.94104308
subject_065_jpeg_q_10,35.51863047,0.999998731,0.070149496,58.57142857
subject_065_jpeg_q_15,37.68070441,0.999999993,0.047685981,65.44217687
subject_065_jpeg_q_20,39.39804976,0.999999967,0.033705231,67.84580499
subject_065_jpeg_q_3,26.92786852,0.999976032,0.167536989,15.46485261
subject_065_qp_level_6,15.34766745,0.995549738,0.372508973,9.818594104
subject_065_qp_level_7,17.02516229,0.997812869,0.322198778,13.90022676
subject_065_qp_level_8,19.69520495,0.999734962,0.264912963,11.95011338
subject_065_qp_level_9,23.30481565,0.999983793,0.226271272,13.99092971
subject_065_qt_level_10,32.08872161,0.999999685,0.088501617,58.20861678
subject_065_qt_level_7,27.52917778,0.999966923,0.151686102,29.569161
subject_065_qt_level_8,29.64008852,0.999997746,0.127225965,53.01587302
subject_065_qt_level_9,31.04362473,0.999998887,0.103935458,63.85487528
subject_065_simp_rate_0.05,30.28673849,0.999999778,0.105532303,35.87301587
subject_065_simp_rate_0.1,30.5870823,0.999999978,0.082597338,45.69160998
subject_065_simp_rate_0.2,33.67571079,0.999999986,0.051656827,55.89569161
subject_065_simp_rate_0.4,36.26179149,0.999999989,0.027311601,81.83673469
subject_065_sub_rate_16,30.90096659,0.999933682,0.098435149,36.05442177
subject_065_sub_rate_2,40.724568,0.999999622,0.026311668,90.36281179
subject_065_sub_rate_4,36.2556353,0.99999675,0.06483043,63.1292517
subject_065_sub_rate_8,33.53874421,0.999982018,0.086851262,37.07482993
subject_071_cn_sigma_20,32.16160609,0.999992941,0.185240403,57.93650794
subject_071_cn_sigma_40,26.61832655,0.999933857,0.34747526,49.50113379
subject_071_cn_sigma_60,23.51680187,0.999807285,0.43338716,32.42630385
subject_071_cn_sigma_80,21.46046939,0.999578736,0.485523909,25.75963719
subject_071_gn_sigma_0.05,28.58529388,0.999998452,0.126363948,47.55102041
subject_071_gn_sigma_0.1,24.32258278,0.999991483,0.194792777,30.31746032
subject_071_gn_sigma_0.15,22.20604119,0.999987381,0.236485273,24.19501134
subject_071_gn_sigma_0.2,20.608595,0.999991454,0.259998411,10
subject_071_jpeg_q_10,36.30185189,0.999999261,0.059435468,58.73015873
subject_071_jpeg_q_15,38.35527552,0.999999774,0.037989512,50.97505669
subject_071_jpeg_q_20,40.03228135,0.99999911,0.025403865,72.01814059
subject_071_jpeg_q_3,27.02439857,0.999500766,0.153743103,15.01133787
subject_071_qp_level_6,15.94614915,0.987298288,0.34968558,6.485260771
subject_071_qp_level_7,17.28043414,0.994580019,0.306916177,6.575963719
subject_071_qp_level_8,19.28393539,0.999652754,0.257914454,15.19274376
subject_071_qp_level_9,22.78903969,0.999995602,0.224213243,17.0521542
subject_071_qt_level_10,31.76939817,0.999999686,0.084578104,59.138322
subject_071_qt_level_7,28.49784313,0.999999908,0.122478984,32.72108844
subject_071_qt_level_8,30.10002313,0.999999696,0.102920391,57.09750567
subject_071_qt_level_9,31.15037431,0.999999834,0.090163879,55.89569161
subject_071_simp_rate_0.05,29.55669502,0.999999646,0.115904346,38.27664399
subject_071_simp_rate_0.1,31.52127884,0.999999959,0.086590275,49.86394558
subject_071_simp_rate_0.2,33.18943583,0.999999983,0.058820996,74.05895692
subject_071_simp_rate_0.4,35.51245068,0.999999982,0.033971902,65.44217687
subject_071_sub_rate_16,32.27372351,0.999979919,0.077550203,23.44671202
subject_071_sub_rate_2,42.63019376,0.999999567,0.014019064,61.92743764
subject_071_sub_rate_4,37.64945032,0.999998037,0.04285093,63.85487528
subject_071_sub_rate_8,34.60625802,0.999992211,0.065446749,38.18594104
subject_074_cn_sigma_20,33.25734587,0.9999972,0.109553069,64.87528345
subject_074_cn_sigma_40,27.68773686,0.999972414,0.234973207,52.92517007
subject_074_cn_sigma_60,24.59433266,0.999885198,0.315769494,41.70068027
subject_074_cn_sigma_80,22.55537515,0.999704505,0.366155863,34.67120181
subject_074_gn_sigma_0.05,29.51260158,0.999996703,0.098850444,57.57369615
subject_074_gn_sigma_0.1,25.7017439,0.999980663,0.164528117,46.34920635
subject_074_gn_sigma_0.15,23.05010463,0.999946302,0.199442163,24.28571429
subject_074_gn_sigma_0.2,21.32931308,0.999918181,0.22018823,15.19274376
subject_074_jpeg_q_10,35.90100903,0.999999984,0.046920873,49.77324263
subject_074_jpeg_q_15,38.42492688,0.999999207,0.027381256,47.9138322
subject_074_jpeg_q_20,40.15513072,0.999999826,0.017245637,73.60544218
subject_074_jpeg_q_3,26.95588421,0.999991924,0.147480562,16.96145125
subject_074_qp_level_6,15.69638949,0.976545283,0.29638201,4.353741497
subject_074_qp_level_7,17.18978045,0.987873929,0.256947875,9.909297052
subject_074_qp_level_8,19.61211252,0.998245103,0.216117844,8.888888889
subject_074_qp_level_9,23.11685274,0.999914783,0.19619301,25.2154195
subject_074_qt_level_10,31.58082165,0.999999086,0.07325422,63.21995465
subject_074_qt_level_7,27.45859996,0.999969668,0.117242821,32.81179138
subject_074_qt_level_8,28.99137371,0.999997838,0.098895431,55.44217687
subject_074_qt_level_9,30.5876183,0.999998033,0.081888907,65.17006803
subject_074_simp_rate_0.05,29.9219322,0.999998434,0.078717329,47.7324263
subject_074_simp_rate_0.1,31.76191739,0.999999446,0.057276271,66.00907029
subject_074_simp_rate_0.2,33.87592302,0.99999994,0.038557753,76.09977324
subject_074_simp_rate_0.4,36.18106217,0.999999972,0.020280316,71.83673469
subject_074_sub_rate_16,31.00464505,0.999915119,0.083690904,29.569161
subject_074_sub_rate_2,40.64248074,0.999998746,0.016550215,62.85714286
subject_074_sub_rate_4,35.43331602,0.999989396,0.054272935,65.71428571
subject_074_sub_rate_8,32.79944692,0.999955468,0.074361011,42.44897959
subject_076_cn_sigma_20,31.77895256,0.999997859,0.186468825,57.09750567
subject_076_cn_sigma_40,26.26099225,0.999953092,0.36410591,43.28798186
subject_076_cn_sigma_60,23.08266264,0.999786557,0.473750621,36.05442177
subject_076_cn_sigma_80,20.95077684,0.99950564,0.540283024,29.84126984
subject_076_gn_sigma_0.05,29.85449078,0.999998691,0.114980802,45.05668934
subject_076_gn_sigma_0.1,25.23460027,0.999988523,0.190276369,38.66213152
subject_076_gn_sigma_0.15,22.90172244,0.999972636,0.233727738,16.96145125
subject_076_gn_sigma_0.2,21.45818807,0.999966527,0.260796875,10.83900227
subject_076_jpeg_q_10,34.33284844,0.999999635,0.071799144,43.7414966
subject_076_jpeg_q_15,36.62474428,0.999998521,0.046355374,63.03854875
subject_076_jpeg_q_20,38.45756018,0.999999938,0.032949951,86.37188209
subject_076_jpeg_q_3,26.17218683,0.999978708,0.197774246,25.3968254
subject_076_qp_level_6,15.64871765,0.996232727,0.383456886,10
subject_076_qp_level_7,17.41028418,0.99804377,0.332584083,5.555555556
subject_076_qp_level_8,19.73193704,0.999781683,0.274690628,9.909297052
subject_076_qp_level_9,23.26650069,0.999989925,0.225698218,13.90022676
subject_076_qt_level_10,31.30545833,0.999999668,0.08340463,54.87528345
subject_076_qt_level_7,26.03694576,0.999996135,0.175831139,29.569161
subject_076_qt_level_8,27.75716272,0.999998397,0.141260788,38.0952381
subject_076_qt_level_9,29.71987295,0.999999575,0.106275797,83.96825397
subject_076_simp_rate_0.05,28.88847849,0.999999922,0.09857484,47.27891156
subject_076_simp_rate_0.1,31.47785406,0.999999981,0.074832819,50.79365079
subject_076_simp_rate_0.2,33.39439048,0.999999995,0.049851723,46.62131519
subject_076_simp_rate_0.4,35.16629998,0.999999994,0.029146891,60.72562358
subject_076_sub_rate_16,29.23873702,0.999962326,0.143620029,28.54875283
subject_076_sub_rate_2,38.46507607,0.999999119,0.030293036,72.85714286
subject_076_sub_rate_4,33.41425433,0.999995246,0.091059446,62.76643991
subject_076_sub_rate_8,31.06029786,0.999984077,0.127341956,47.27891156
subject_083_cn_sigma_20,32.04284505,0.99999676,0.174557328,72.85714286
subject_083_cn_sigma_40,26.50826875,0.999987568,0.358035982,54.96598639
subject_083_cn_sigma_60,23.37536561,0.999959241,0.465646118,41.33786848
subject_083_cn_sigma_80,21.32533747,0.999880147,0.524581134,29.18367347
subject_083_gn_sigma_0.05,29.28051552,0.999997658,0.111642472,46.62131519
subject_083_gn_sigma_0.1,24.51169099,0.999980355,0.187958226,29.93197279
subject_083_gn_sigma_0.15,22.0947251,0.999955208,0.230022147,32.44897959
subject_083_gn_sigma_0.2,20.7064229,0.999933721,0.25865072,12.87981859
subject_083_jpeg_q_10,35.64815278,0.999993968,0.059613042,47.46031746
subject_083_jpeg_q_15,38.38038788,0.999998797,0.032145299,65.62358277
subject_083_jpeg_q_20,40.6132524,0.99999939,0.021095116,62.76643991
subject_083_jpeg_q_3,26.60423187,0.999784019,0.166383415,20.20408163
subject_083_qp_level_6,15.17011951,0.98025746,0.361109465,3.242630385
subject_083_qp_level_7,16.3895454,0.991476514,0.3180933,7.68707483
subject_083_qp_level_8,18.69352873,0.999174314,0.266751468,9.818594104
subject_083_qp_level_9,22.05297124,0.999966904,0.229370654,21.40589569
subject_083_qt_level_10,30.77624109,0.999999308,0.083865933,59.04761905
subject_083_qt_level_7,28.01888772,0.999999168,0.121276885,27.52834467
subject_083_qt_level_8,29.56398482,0.999997735,0.102331586,43.37868481
subject_083_qt_level_9,30.27282097,0.999999122,0.09001825,59.50113379
subject_083_simp_rate_0.05,29.50144452,0.999999916,0.115500756,38.36734694
subject_083_simp_rate_0.1,31.1544221,0.999999892,0.088755511,51.9047619
subject_083_simp_rate_0.2,32.16558723,0.99999999,0.063452527,55.98639456
subject_083_simp_rate_0.4,34.64914849,0.999999983,0.036280327,62.47165533
subject_083_sub_rate_16,33.0696167,0.999986396,0.070384428,21.31519274
subject_083_sub_rate_2,43.94710647,0.999999937,0.01176428,53.10657596
subject_083_sub_rate_4,39.19138619,0.999999551,0.038921833,73.03854875
subject_083_sub_rate_8,35.91267963,0.999997329,0.059400551,33.83219955
subject_085_cn_sigma_20,31.52133752,0.999999166,0.229586616,57.09750567
subject_085_cn_sigma_40,25.95293032,0.999963873,0.402221739,50.70294785
subject_085_cn_sigma_60,22.74246238,0.999830531,0.495518297,35.87301587
subject_085_cn_sigma_80,20.63061571,0.99961716,0.551551163,37.82312925
subject_085_gn_sigma_0.05,29.07612738,0.999998919,0.145513296,42.63038549
subject_085_gn_sigma_0.1,24.83325163,0.999993673,0.217543766,26.41723356
subject_085_gn_sigma_0.15,22.57056371,0.999986796,0.262797445,24.10430839
subject_085_gn_sigma_0.2,20.62304008,0.999983068,0.286532134,26.41723356
subject_085_jpeg_q_10,35.24176621,0.999999965,0.087915786,46.16780045
subject_085_jpeg_q_15,37.56926161,0.999999897,0.050452661,74.14965986
subject_085_jpeg_q_20,39.32475772,0.999999935,0.035102502,55.98639456
subject_085_jpeg_q_3,27.15829594,0.999919766,0.181822687,20.02267574
subject_085_qp_level_6,15.99092364,0.996361027,0.373518109,8.888888889
subject_085_qp_level_7,17.57926904,0.997869037,0.33269766,7.777777778
subject_085_qp_level_8,19.55747136,0.999755029,0.283607215,9.727891156
subject_085_qp_level_9,23.11629501,0.999989318,0.246686488,26.32653061
subject_085_qt_level_10,31.36182811,0.999999725,0.10172642,54.51247166
subject_085_qt_level_7,26.75875868,0.999999991,0.16743499,28.63945578
subject_085_qt_level_8,28.9922079,0.999999556,0.143760353,30.58956916
subject_085_qt_level_9,30.45848196,0.999999698,0.118732043,50.88435374
subject_085_simp_rate_0.05,29.06536685,0.999999934,0.101672553,38.36734694
subject_085_simp_rate_0.1,32.29233822,0.999999921,0.076423548,44.67120181
subject_085_simp_rate_0.2,34.05111478,0.999999991,0.050240137,61.17913832
subject_085_simp_rate_0.4,35.84300235,0.999999989,0.029851621,77.3015873
subject_085_sub_rate_16,30.28764291,0.999967702,0.102783166,33.7414966
subject_085_sub_rate_2,40.80674604,0.999999603,0.027927635,65.07936508
subject_085_sub_rate_4,36.28313848,0.999997785,0.068642065,66.37188209
subject_085_sub_rate_8,33.39393341,0.999990752,0.087887123,48.48072562
subject_089_cn_sigma_20,31.77796009,0.999999975,0.218844309,62.10884354
subject_089_cn_sigma_40,26.29201985,0.999977403,0.388542354,46.80272109
subject_089_cn_sigma_60,23.14435397,0.999871025,0.48309648,37.07482993
subject_089_cn_sigma_80,21.01989693,0.999668028,0.542751372,34.76190476
subject_089_gn_sigma_0.05,29.94068898,0.999999815,0.120635077,49.50113379
subject_089_gn_sigma_0.1,25.44052598,0.999998724,0.202600613,27.61904762
subject_089_gn_sigma_0.15,22.85550794,0.99999552,0.246578678,19.27437642
subject_089_gn_sigma_0.2,21.36587465,0.999992163,0.274958342,19.36507937
subject_089_jpeg_q_10,35.80891037,0.999991765,0.072061948,54.12698413
subject_089_jpeg_q_15,37.98949412,0.999999988,0.045117419,85.26077098
subject_089_jpeg_q_20,39.72980642,0.999999962,0.032820448,63.76417234
subject_089_jpeg_q_3,26.83493093,0.999942102,0.181360871,16.03174603
subject_089_qp_level_6,15.90366331,0.99619316,0.373927385,8.798185941
subject_089_qp_level_7,17.30752092,0.998108852,0.332984,18.16326531
subject_089_qp_level_8,19.35328439,0.999838053,0.27861014,9.909297052
subject_089_qp_level_9,22.99178415,0.999999642,0.238428965,17.0521542
subject_089_qt_level_10,31.7020974,0.999999977,0.087079763,45.78231293
subject_089_qt_level_7,26.93694476,0.999999787,0.146188274,25.66893424
subject_089_qt_level_8,29.33302941,0.999999804,0.118601568,49.50113379
subject_089_qt_level_9,30.80314811,0.999999974,0.097195335,49.77324263
subject_089_simp_rate_0.05,30.74331391,0.999999918,0.098800443,48.84353741
subject_089_simp_rate_0.1,31.69476173,0.999999841,0.075542636,48.48072562
subject_089_simp_rate_0.2,33.44444195,0.999999859,0.049476083,68.14058957
subject_089_simp_rate_0.4,36.45932173,0.999999931,0.027190778,63.1292517
subject_089_sub_rate_16,30.69979238,0.999979211,0.100180559,40.40816327
subject_089_sub_rate_2,42.28648392,0.99999976,0.017240155,66.28117914
subject_089_sub_rate_4,36.89545657,0.999998637,0.051415738,65.17006803
subject_089_sub_rate_8,33.60787022,0.999994498,0.080864303,37.9138322
subject_091_cn_sigma_20,31.32873712,0.999993198,0.203137383,70.90702948
subject_091_cn_sigma_40,25.73827252,0.999958494,0.369308978,47.36961451
subject_091_cn_sigma_60,22.66289773,0.999917727,0.45925805,35.69160998
subject_091_cn_sigma_80,20.63532949,0.999891843,0.510093153,32.06349206
subject_091_gn_sigma_0.05,28.41757145,0.999998594,0.14595218,47.36961451
subject_091_gn_sigma_0.1,23.89966962,0.999994564,0.222722471,35.96371882
subject_091_gn_sigma_0.15,21.69988675,0.999992284,0.264646292,23.53741497
subject_091_gn_sigma_0.2,20.10811456,0.999995,0.288034856,29.95464853
subject_091_jpeg_q_10,35.34565841,0.999999437,0.068186447,49.68253968
subject_091_jpeg_q_15,37.54620523,0.99999988,0.042805936,53.01587302
subject_091_jpeg_q_20,39.05415932,0.999999874,0.029387418,84.71655329
subject_091_jpeg_q_3,26.20977365,0.999654276,0.180419222,22.42630385
subject_091_qp_level_6,16.02804439,0.993225427,0.369555414,3.242630385
subject_091_qp_level_7,17.37835153,0.996842714,0.32672146,7.414965986
subject_091_qp_level_8,19.15127111,0.999709883,0.283560425,7.777777778
subject_091_qp_level_9,22.53906781,0.999995034,0.244510949,9.818594104
subject_091_qt_level_10,30.90903005,0.99999968,0.095197,60.52154195
subject_091_qt_level_7,27.09832899,0.999995601,0.143073946,36.89342404
subject_091_qt_level_8,29.00376003,0.999999803,0.121026069,51.54195011
subject_091_qt_level_9,30.22430125,0.999999234,0.103328377,67.84580499
subject_091_simp_rate_0.05,29.47066051,0.999999917,0.109387428,41.33786848
subject_091_simp_rate_0.1,30.7650372,0.999999933,0.084483154,44.39909297
subject_091_simp_rate_0.2,33.04237126,0.999999986,0.054136992,58.68480726
subject_091_simp_rate_0.4,35.39459303,0.999999983,0.030494915,76.28117914
subject_091_sub_rate_16,31.23793696,0.999958884,0.092209063,23.44671202
subject_091_sub_rate_2,40.93731914,0.999999226,0.020794077,79.52380952
subject_091_sub_rate_4,36.58077822,0.999995763,0.058019005,73.03854875
subject_091_sub_rate_8,33.89069699,0.99998665,0.079488665,37.7324263
subject_094_cn_sigma_20,33.08442199,0.99999896,0.153974831,71.08843537
subject_094_cn_sigma_40,27.60051382,0.99999935,0.28974849,65.71428571
subject_094_cn_sigma_60,24.50016927,0.999995597,0.369650543,44.58049887
subject_094_cn_sigma_80,22.37170928,0.999984263,0.418030351,33.7414966
subject_094_gn_sigma_0.05,29.75399095,0.999995848,0.126421019,46.80272109
subject_094_gn_sigma_0.1,25.4118141,0.999967967,0.189028978,27.52834467
subject_094_gn_sigma_0.15,22.78044762,0.999944139,0.229108125,19.18367347
subject_094_gn_sigma_0.2,21.25723293,0.999929762,0.248652041,22.24489796
subject_094_jpeg_q_10,37.2928406,0.999999605,0.055342883,71.92743764
subject_094_jpeg_q_15,39.58484159,0.999999746,0.033786237,83.03854875
subject_094_jpeg_q_20,41.13677674,0.999999958,0.023953626,59.88662132
subject_094_jpeg_q_3,27.45840734,0.99981691,0.141117886,22.24489796
subject_094_qp_level_6,16.14873492,0.989274533,0.310784996,8.344671202
subject_094_qp_level_7,17.46121905,0.994230968,0.276919007,5.37414966
subject_094_qp_level_8,19.51494723,0.9991282,0.238254711,7.68707483
subject_094_qp_level_9,23.05214329,0.999940408,0.217785016,19.36507937
subject_094_qt_level_10,32.18759447,0.999998661,0.091176488,50.79365079
subject_094_qt_level_7,28.87321459,0.999998383,0.128482863,35.96371882
subject_094_qt_level_8,30.60342933,0.999998551,0.110632896,48.84353741
subject_094_qt_level_9,31.6015315,0.999998806,0.097590744,49.02494331
subject_094_simp_rate_0.05,32.60789756,0.999999711,0.080739461,45.78231293
subject_094_simp_rate_0.1,34.19856233,0.999999879,0.059725009,50.88435374
subject_094_simp_rate_0.2,35.9019024,0.999999992,0.038827129,76.00907029
subject_094_simp_rate_0.4,37.4101518,0.999999997,0.02106954,71.92743764
subject_094_sub_rate_16,32.72466463,0.999986962,0.078475118,28.63945578
subject_094_sub_rate_2,43.76299348,0.999999786,0.012595,69.52380952
subject_094_sub_rate_4,38.56996425,0.999998904,0.040024947,62.29024943
subject_094_sub_rate_8,35.321962,0.999995126,0.06246756,51.17913832
subject_095_cn_sigma_20,32.91930861,0.99999864,0.152993709,66.19047619
subject_095_cn_sigma_40,27.32637203,0.999991657,0.299899071,49.50113379
subject_095_cn_sigma_60,24.19109234,0.999951543,0.379932135,38.93424036
subject_095_cn_sigma_80,22.13021067,0.99983646,0.426757693,21.76870748
subject_095_gn_sigma_0.05,28.30942208,0.999994634,0.126430377,45.87301587
subject_095_gn_sigma_0.1,24.5207363,0.999953493,0.190449968,37.9138322
subject_095_gn_sigma_0.15,22.2429077,0.999929707,0.222204432,17.0521542
subject_095_gn_sigma_0.2,20.36890472,0.999930488,0.24401927,28.45804989
subject_095_jpeg_q_10,36.88717222,0.99999363,0.05249048,38.27664399
subject_095_jpeg_q_15,39.09909782,0.999999678,0.032780379,53.01587302
subject_095_jpeg_q_20,41.00029243,0.999999505,0.020856719,60.06802721
subject_095_jpeg_q_3,27.50801692,0.999586387,0.138397723,11.85941043
subject_095_qp_level_6,15.87241357,0.974109859,0.309588343,4.263038549
subject_095_qp_level_7,17.18097419,0.988848646,0.270693779,13.99092971
subject_095_qp_level_8,19.34643977,0.998514964,0.230257824,9.909297052
subject_095_qp_level_9,22.71906309,0.999898611,0.211145923,24.82993197
subject_095_qt_level_10,31.58838707,0.999998066,0.085876271,77.12018141
subject_095_qt_level_7,29.24064683,0.999996827,0.114239112,34.85260771
subject_095_qt_level_8,30.36747875,0.999997052,0.099949315,57.07482993
subject_095_qt_level_9,31.2100782,0.999997887,0.090221822,75.07936508
subject_095_simp_rate_0.05,27.86914537,0.999997085,0.093697205,47.46031746
subject_095_simp_rate_0.1,32.7841813,0.999999812,0.064911485,65.07936508
subject_095_simp_rate_0.2,34.63931987,0.999999885,0.045194369,72.10884354
subject_095_simp_rate_0.4,36.34654169,0.999999972,0.027434846,76.19047619
subject_095_sub_rate_16,32.77752384,0.999985505,0.07079979,27.43764172
subject_095_sub_rate_2,43.31844387,0.999999726,0.01410991,68.59410431
subject_095_sub_rate_4,38.4161142,0.99999829,0.042027894,58.7755102
subject_095_sub_rate_8,35.65585464,0.999993976,0.060366143,42.53968254
subject_096_cn_sigma_20,32.79940994,0.999994384,0.154078349,58.02721088
subject_096_cn_sigma_40,27.2183782,0.999951353,0.302071154,44.39909297
subject_096_cn_sigma_60,24.09946459,0.999809161,0.387878329,39.47845805
subject_096_cn_sigma_80,22.03572644,0.999496544,0.43545121,30.40816327
subject_096_gn_sigma_0.05,29.24837726,0.999993983,0.10776104,45.51020408
subject_096_gn_sigma_0.1,24.71028251,0.999965723,0.174386337,42.44897959
subject_096_gn_sigma_0.15,22.25046354,0.999943668,0.2095581,20.11337868
subject_096_gn_sigma_0.2,20.52268073,0.999948064,0.232375309,9.909297052
subject_096_jpeg_q_10,37.18136624,0.999992669,0.045111153,43.46938776
subject_096_jpeg_q_15,39.31143466,0.999998507,0.027208958,63.1292517
subject_096_jpeg_q_20,41.39837694,0.999999798,0.018220261,75.17006803
subject_096_jpeg_q_3,27.74829245,0.999311521,0.121048369,21.31519274
subject_096_qp_level_6,15.84979041,0.971314789,0.316513956,5.37414966
subject_096_qp_level_7,17.07407018,0.988120662,0.274305671,14.1723356
subject_096_qp_level_8,19.28939995,0.998549944,0.226303324,10.74829932
subject_096_qp_level_9,22.73601099,0.99992685,0.199550524,21.97278912
subject_096_qt_level_10,31.56870661,0.999998829,0.074403733,45.78231293
subject_096_qt_level_7,29.11669325,0.999995548,0.096312121,32.81179138
subject_096_qt_level_8,30.48640464,0.999997623,0.084591046,58.02721088
subject_096_qt_level_9,31.21076688,0.999998627,0.077398561,64.6031746
subject_096_simp_rate_0.05,31.15502693,0.999999843,0.099578001,41.24716553
subject_096_simp_rate_0.1,32.46204481,0.999999959,0.076822095,43.46938776
subject_096_simp_rate_0.2,34.04863983,0.999999991,0.051768769,73.96825397
subject_096_simp_rate_0.4,35.87323159,0.999999996,0.030068981,75.07936508
subject_096_sub_rate_16,33.93607072,0.999976122,0.055107582,31.51927438
subject_096_sub_rate_2,44.51098934,0.999999728,0.010582219,73.96825397
subject_096_sub_rate_4,39.79498451,0.999998316,0.031443857,47.09750567
subject_096_sub_rate_8,36.64924404,0.999993356,0.046312969,44.48979592
subject_099_cn_sigma_20,32.43848305,0.999999687,0.162368357,81.83673469
subject_099_cn_sigma_40,26.87911536,0.999998931,0.331220359,50.6122449
subject_099_cn_sigma_60,23.71376677,0.999994202,0.439232528,30.58956916
subject_099_cn_sigma_80,21.66515642,0.999986933,0.494990408,36.98412698
subject_099_gn_sigma_0.05,28.51477235,0.99999815,0.120243743,61.92743764
subject_099_gn_sigma_0.1,24.01931126,0.999982444,0.197545111,32.63038549
subject_099_gn_sigma_0.15,21.87986681,0.99996663,0.240025908,20.29478458
subject_099_gn_sigma_0.2,20.08228329,0.999962854,0.262675971,9.455782313
subject_099_jpeg_q_10,35.69251382,0.999992669,0.057978138,34.01360544
subject_099_jpeg_q_15,38.28339978,0.999999423,0.032794006,61.54195011
subject_099_jpeg_q_20,40.47104353,0.99999883,0.020138755,73.3106576
subject_099_jpeg_q_3,27.02405804,0.999910286,0.161644384,28.0952381
subject_099_qp_level_6,15.59348417,0.989771383,0.349424869,7.68707483
